,,,,mean_delta_mse,mean_delta_mse,energy_distance,energy_distance,response_loss,response_loss
,,,,mean,count,mean,count,mean,count
role,model_id,panel,method,,,,,,
train,ACH-000551,native_all,global_mean,0.0055783071350491206,1813,0.6700685367489545,1813,0.6756468437451785,1813
train,ACH-000551,native_all,model,0.007626429065456845,1813,0.8986017907842772,1813,0.906228219647468,1813
train,ACH-000551,native_all,no_change,0.006306238673443475,1813,0.7214555324800621,1813,0.7277617717210062,1813
train,ACH-000551,native_all,perturbation_mean,0.003913290367677416,1813,0.5592441969133515,1813,0.5631574871490098,1813
train,ACH-000551,native_common,global_mean,0.0055783071350491206,1813,0.6700685367489545,1813,0.6756468437451785,1813
train,ACH-000551,native_common,model,0.007626429065456845,1813,0.8986017907842772,1813,0.906228219647468,1813
train,ACH-000551,native_common,no_change,0.006306238673443475,1813,0.7214555324800621,1813,0.7277617717210062,1813
train,ACH-000551,native_common,perturbation_mean,0.003913290367677416,1813,0.5592441969133515,1813,0.5631574871490098,1813
train,ACH-000739,native_all,global_mean,0.010910989367854063,1807,1.3278744385660717,1807,1.338785425892309,1807
train,ACH-000739,native_all,model,0.009921223984327215,1807,1.3241792920550128,1807,1.334100514468925,1807
train,ACH-000739,native_all,no_change,0.012058933996855719,1807,1.419521930274478,1807,1.4315808638559235,1807
train,ACH-000739,native_all,perturbation_mean,0.0046750978470331385,1807,0.8157538248810506,1807,0.8204289229620737,1807
train,ACH-000739,native_common,global_mean,0.010910989367854063,1807,1.3278744385660717,1807,1.338785425892309,1807
train,ACH-000739,native_common,model,0.009921223984327215,1807,1.3241792920550128,1807,1.334100514468925,1807
train,ACH-000739,native_common,no_change,0.012058933996855719,1807,1.419521930274478,1807,1.4315808638559235,1807
train,ACH-000739,native_common,perturbation_mean,0.0046750978470331385,1807,0.8157538248810506,1807,0.8204289229620737,1807
train,ACH-000971,native_all,global_mean,0.00665382853448359,1748,0.8951075093424293,1748,0.901761338404578,1748
train,ACH-000971,native_all,model,0.09238538108936573,1748,7.3831741880770405,1748,7.475559566604736,1748
train,ACH-000971,native_all,no_change,0.007562558536974019,1748,0.9627251657795851,1748,0.9702877225673989,1748
train,ACH-000971,native_all,perturbation_mean,0.003849126091208692,1748,0.6765090922741923,1748,0.6803582172406074,1748
train,ACH-000971,native_common,global_mean,0.00665382853448359,1748,0.8951075093424293,1748,0.901761338404578,1748
train,ACH-000971,native_common,model,0.09238538108936573,1748,7.3831741880770405,1748,7.475559566604736,1748
train,ACH-000971,native_common,no_change,0.007562558536974019,1748,0.9627251657795851,1748,0.9702877225673989,1748
train,ACH-000971,native_common,perturbation_mean,0.003849126091208692,1748,0.6765090922741923,1748,0.6803582172406074,1748
val,ACH-000551,native_all,global_mean,0.005147526841325571,196,0.6304520879473005,196,0.6355996171430666,196
val,ACH-000551,native_all,model,0.0072307337077847705,196,0.8659058103756029,196,0.8731365438018527,196
val,ACH-000551,native_all,no_change,0.005834274093753525,196,0.6791748027412259,196,0.6850090762790368,196
val,ACH-000551,native_all,perturbation_mean,0.012315454685317419,193,1.1395379792840987,193,1.1518534316917775,193
val,ACH-000551,native_common,global_mean,0.0050830563067077355,193,0.6253296451865082,193,0.630412703659868,193
val,ACH-000551,native_common,model,0.007229461014956004,193,0.8657041856044315,193,0.8729336462490299,193
val,ACH-000551,native_common,no_change,0.005760158214312761,193,0.6733811136354436,193,0.6791412716084811,193
val,ACH-000551,native_common,perturbation_mean,0.012315454685317419,193,1.1395379792840987,193,1.1518534316917775,193
val,ACH-000739,native_all,global_mean,0.010459649966716176,202,1.2818342718747582,202,1.2922939155066366,202
val,ACH-000739,native_all,model,0.0082399288842473,202,1.1467092249653128,202,1.1549491538564758,202
val,ACH-000739,native_all,no_change,0.011517648302747102,202,1.3660236585258256,202,1.3775413130769636,202
val,ACH-000739,native_all,perturbation_mean,0.014010923515640237,199,1.5378956627007105,199,1.5519065825483906,199
val,ACH-000739,native_common,global_mean,0.010328094021010039,199,1.2707151096669873,199,1.2810431980907018,199
val,ACH-000739,native_common,model,0.008262424884204889,199,1.1487626502262287,199,1.1570250752882743,199
val,ACH-000739,native_common,no_change,0.011364502526922666,199,1.3531730498500805,199,1.3645375589629514,199
val,ACH-000739,native_common,perturbation_mean,0.014010923515640237,199,1.5378956627007105,199,1.5519065825483906,199
val,ACH-000971,native_all,global_mean,0.005473669295551608,185,0.7267181808884079,185,0.7321918482716019,185
val,ACH-000971,native_all,model,0.0893151879713342,185,7.031353295815958,185,7.1206684885798275,185
val,ACH-000971,native_all,no_change,0.006344166852382792,185,0.7908179927516628,185,0.7971621550418235,185
val,ACH-000971,native_all,perturbation_mean,0.008944269020243414,182,1.015550162766006,182,1.0244944336322637,182
val,ACH-000971,native_common,global_mean,0.005496618553489488,182,0.7297730183863378,182,0.7352696350970112,182
val,ACH-000971,native_common,model,0.08928596838326244,182,7.029400217664111,182,7.118686193948264,182
val,ACH-000971,native_common,no_change,0.006369559858045489,182,0.794025012425014,182,0.8003945678145021,182
val,ACH-000971,native_common,perturbation_mean,0.008944269020243414,182,1.015550162766006,182,1.0244944336322637,182
